03311240|03311000|0|Haddock
03311300|03311000|0|Herring
03311400|03311000|0|Tuna
03311500|03311000|0|Whiting
03311600|03311000|0|Whitebait
03311700|03311000|0|Salmon
03312000|03310000|1|Crustaceans
03312100|03312000|0|Oysters
03312200|03312000|0|Shellfish
03312300|03312000|0|Aquatic invertebrates
03313000|03310000|1|Aquatic products
03313100|03313000|0|Corals or similar products
03313200|03313000|0|Natural sponges
03313300|03313000|0|Seaweeds
03313310|03313000|0|Algae
03320000|03300000|1|Cattle, livestock and small animals
03321000|03320000|1|Cattle
03321100|03321000|0|Bovine cattle
03321200|03321000|0|Calves
03322000|03320000|1|Livestock
03322100|03322000|0|Sheep
03322200|03322000|0|Goats
03322300|03322000|0|Horses
03323000|03320000|0|Pigs
03324000|03320000|0|Live poultry
03325000|03320000|1|Small animals
03325100|03325000|0|Rabbits
03325200|03325000|0|Hares
03330000|03300000|1|Farm animal products
03331000|03330000|1|Fresh milk from sheep and goats
03331100|03331000|0|Sheep's milk
03331200|03331000|0|Goats' milk
03332000|03330000|1|Wool and animal hair
03332100|03332000|0|Shorn wool
03332200|03332000|0|Animal hair
03333000|03330000|0|Fresh cows' milk
03340000|03300000|1|Animal ear tags
03341000|03340000|0|Bovine ear tags
03400000|03000000|1|Forestry and logging products
03410000|03400000|1|Wood
03411000|03410000|0|Coniferous wood
03412000|03410000|0|Tropical wood
03413000|03410000|0|Fuel wood
03414000|03410000|0|Rough wood
03415000|03410000|0|Softwood
03416000|03410000|0|Wood waste
03417000|03410000|1|Scrap wood
03417100|03417000|0|Sawdust
03418000|03410000|1|Logs
03418100|03418000|0|Hardwood
03419000|03410000|1|Timber
03419100|03419000|0|Timber products
03419200|03419000|0|Mining timber
03420000|03400000|1|Gums
03421000|03420000|0|Balsams
03422000|03420000|0|Lac
03430000|03400000|1|Cork
03431000|03430000|0|Natural cork
03432000|03430000|1|Basketware
03432100|03432000|0|Wickerwork
03440000|03400000|1|Forestry products
03441000|03440000|0|Ornamental plants, grasses, mosses or lichens
